Category,Product,Price
"Email Database Dumps","Private USA dentists database 122k",50
"Email Database Dumps","USA Voter Database (various states)",100
Malware,"Global low quality, slow speed, low success rate x 1000",50
Malware,"Europe low quality, slow speed, low success rate x 1000",320
Malware,"USA, CA, UK, AU low quality, slow speed, low success rate x 1000",900
Malware,"Global med quality, 70% success rate x 1000",80
Malware,"Europe med quality, 70% success rate x 1000",500
Malware,"USA only med quality, 70% success rate x 1000",1000
Malware,"USA, CA, UK, AU med quality, 70% success rate x 1000",1400
Malware,"Europe fresh high quality x 1000",2500
Malware,"Europe aged high quality x 1000",1200
Malware,"USA high quality x 1000",1900
Malware,"CA high quality x 1000",1400
Malware,"UK high quality x 1000",2200
Malware,"Android x 1000",900
Malware,"Premium x 1000",5000
"DDOS Attacks","Unprotected website, 10-50k requests per second, 1 hour",15
"DDOS Attacks","Unprotected website, 10-50k requests per second, 24 hours",50
"DDOS Attacks","Unprotected website, 10-50k requests per second, 1 week",500
"DDOS Attacks","Unprotected website, 10-50k requests per second, 1 month",1000
"DDOS Attacks","Europe low quality, slow speed, low success rate x 1000",320
"DDOS Attacks","Premium protected website, 20-50k requests per second, multiple elite proxies, 24 hours",200
